Collection State Code,Year,Month,Normalized_Concentration
MD,2,3,0.017
MD,2,4,0.26
MD,2,5,0.26
MD,2,7,0.56
MD,2,7,0.017
MD,2,8,0.14
MD,2,10,0.24
MD,2,11,0.05
MD,2,12,0.05
MI,2,1,0.034
MI,2,1,0.078
MI,2,4,0.15
MI,2,7,0.017
MI,2,7,0.017
MI,2,8,0.05
MI,2,8,0.05
MI,2,8,0.017
MI,2,9,0.17
MI,2,9,0.05
MI,2,9,0.017
MI,2,10,0.017
MI,2,10,0.017
MI,2,10,0.017
MI,2,11,0.017
NY,2,2,0.017
NY,2,3,0.017
NY,2,4,0.05
NY,2,5,0.017
NY,2,6,0.017
NY,2,7,0.12
NY,2,8,0.05
NY,2,11,0.017
OH,2,1,0.017
OH,2,1,0.27
OH,2,3,0.18
OH,2,8,0.05
OH,2,9,0.05
OH,2,9,0.13
OH,2,10,0.14
TX,2,1,0.05
TX,2,2,0.22
TX,2,2,0.19
TX,2,2,0.18
TX,2,3,0.19
TX,2,4,0.017
TX,2,4,0.38
TX,2,5,0.26
TX,2,5,0.21
TX,2,6,0.05
TX,2,6,0.017
TX,2,6,0.14
TX,2,6,0.05
TX,2,7,0.017
TX,2,7,0.29
TX,2,7,0.05
TX,2,7,0.05
TX,2,8,0.3
TX,2,8,0.21
TX,2,8,0.05
TX,2,8,0.05
TX,2,9,0.12
TX,2,9,0.017
TX,2,9,0.18
TX,2,9,0.17
TX,2,9,0.15
TX,2,10,0.017
TX,2,10,0.05
TX,2,10,0.017
TX,2,11,0.017
TX,2,11,0.017
TX,2,11,0.19
TX,2,12,0.16
TX,2,12,0.28
WA,2,1,0.24
WA,2,1,0.2
WA,2,1,0.043
WA,2,1,0.05
WA,2,2,0.16
WA,2,2,0.057
WA,2,2,0.017
WA,2,3,0.003
WA,2,3,0.26
WA,2,3,0.16
WA,2,4,0.24
WA,2,4,0.064
WA,2,4,0.34
WA,2,5,0.15
WA,2,5,0.27
WA,2,5,0.017
WA,2,6,0.24
WA,2,6,0.23
WA,2,7,0.038
WA,2,7,0.24
WA,2,7,0.57
WA,2,8,0.15
WA,2,8,0.26
WA,2,8,0.24
WA,2,9,0.19
WA,2,9,0.28
WA,2,9,0.21
WA,2,10,0.017
WA,2,10,0.26
WA,2,10,0.12
WA,2,11,0.36
WA,2,11,0.15
WA,2,11,0.017
WA,2,11,0.17
WA,2,12,0.38
WA,2,12,0.3
WA,2,12,0.14
WA,2,12,0.017
WI,2,2,0.017
WI,2,3,0.017
WI,2,4,0.12
WI,2,4,0.017
WI,2,5,0.017
WI,2,5,0.017
WI,2,6,0.017
WI,2,6,0.017
WI,2,11,0.3
CA,2,1,0.88
CA,2,1,0.086
CA,2,1,2.8
CA,2,1,0.11
CA,2,1,0.018
CA,2,1,1.4
CA,2,1,4.5
CA,2,1,3.2
CA,2,1,0.54
CA,2,1,0.05
CA,2,1,0.06
CA,2,1,0.12
CA,2,2,1.0
CA,2,2,0.048
CA,2,2,0.54
CA,2,2,0.48
CA,2,2,0.72
CA,2,2,0.018
CA,2,2,2.8
CA,2,2,1.5
CA,2,2,0.35
CA,2,2,0.9
CA,2,3,0.81
CA,2,3,0.49
CA,2,3,0.4
CA,2,3,4.7
CA,2,3,0.042
CA,2,3,0.007
CA,2,3,0.98
CA,2,3,0.018
CA,2,3,0.06
CA,2,3,0.48
CA,2,3,0.018
CA,2,3,6.0
CA,2,3,0.73
CA,2,4,0.89
CA,2,4,0.61
CA,2,4,0.9
CA,2,4,0.78
CA,2,4,0.018
CA,2,4,0.018
CA,2,4,3.4
CA,2,4,0.14
CA,2,4,0.042
CA,2,4,0.28
CA,2,4,0.29
CA,2,5,0.018
CA,2,5,2.3
CA,2,5,0.81
CA,2,5,0.042
CA,2,5,1.2
CA,2,5,0.35
CA,2,5,0.042
CA,2,5,0.007
CA,2,5,0.24
CA,2,5,0.016
CA,2,5,1.1
CA,2,5,2.2
CA,2,5,1.2
CA,2,6,0.14
CA,2,6,0.79
CA,2,6,0.024
CA,2,6,0.042
CA,2,6,0.016
CA,2,6,0.62
CA,2,6,0.9
CA,2,6,0.12
CA,2,6,0.018
CA,2,6,0.16
CA,2,6,1.6
CA,2,6,0.42
CA,2,7,0.78
CA,2,7,0.77
CA,2,7,0.008
CA,2,7,0.37
CA,2,7,0.76
CA,2,7,0.65
CA,2,7,1.0
CA,2,7,2.4
CA,2,7,0.22
CA,2,7,0.52
CA,2,7,0.63
CA,2,8,0.48
CA,2,8,0.7
CA,2,8,2.1
CA,2,8,2.7
CA,2,8,0.003
CA,2,8,0.24
CA,2,8,0.6
CA,2,8,1.4
CA,2,8,0.02
CA,2,8,0.31
CA,2,8,0.44
CA,2,9,0.05
CA,2,9,0.013
CA,2,9,0.013
CA,2,9,0.17
CA,2,9,0.14
CA,2,9,0.18
CA,2,9,0.023
CA,2,9,0.18
CA,2,9,1.3
CA,2,9,0.067
CO,2,1,0.19
CO,2,1,1.5
CO,2,2,3.5
CO,2,2,0.75
CO,2,3,1.3
CO,2,3,1.2
CO,2,4,3.6
CO,2,4,0.041
CO,2,5,0.042
CO,2,5,1.3
CO,2,6,1.2
CO,2,6,1.1
CO,2,7,0.62
CO,2,7,0.59
CO,2,8,0.054
CO,2,8,2.2
CO,2,9,0.57
CO,2,9,0.013
FL,2,1,0.25
FL,2,1,0.25
FL,2,1,0.018
FL,2,1,1.8
FL,2,1,1.8
FL,2,1,0.02
FL,2,1,0.78
FL,2,2,0.07
FL,2,2,0.29
FL,2,2,0.73
FL,2,2,0.4
FL,2,2,0.053
FL,2,2,2.0
FL,2,2,0.35
FL,2,3,0.19
FL,2,3,0.74
FL,2,3,0.007
FL,2,3,0.05
FL,2,3,0.79
FL,2,3,1.1
FL,2,4,0.89
FL,2,4,0.06
FL,2,4,0.018
FL,2,4,0.11
FL,2,4,0.54
FL,2,4,0.94
FL,2,5,0.062
FL,2,5,1.1
FL,2,5,0.035
FL,2,5,0.69
FL,2,5,0.58
FL,2,5,0.047
FL,2,6,0.43
FL,2,6,0.042
FL,2,6,0.007
FL,2,6,0.4
FL,2,6,0.85
FL,2,6,1.2
FL,2,7,0.022
FL,2,7,1.1
FL,2,7,0.018
FL,2,7,0.94
FL,2,7,0.018
FL,2,7,0.36
FL,2,8,0.38
FL,2,8,0.43
FL,2,8,0.023
FL,2,8,0.24
FL,2,8,0.29
FL,2,8,0.32
FL,2,9,2.7
FL,2,9,0.11
FL,2,9,0.022
FL,2,9,0.49
FL,2,9,0.61
FL,2,9,0.013
FL,2,9,0.15
MD,2,1,0.51
MD,2,1,0.52
MD,2,1,0.045
MD,2,1,0.59
MD,2,2,0.018
MD,2,2,0.05
MD,2,2,0.46
MD,2,2,1.2
MD,2,3,0.018
MD,2,3,0.17
MD,2,3,0.018
MD,2,3,0.042
MD,2,4,0.26
MD,2,4,0.47
MD,2,5,0.12
MD,2,5,0.65
MD,2,5,1.4
MD,2,5,0.018
MD,2,6,0.82
MD,2,6,0.71
MD,2,7,1.2
MD,2,7,0.042
MD,2,7,1.2
MD,2,7,0.46
MD,2,8,0.18
MD,2,8,0.36
MD,2,8,0.013
MD,2,8,0.013
MD,2,9,0.02
MD,2,9,0.018
MD,2,9,0.007
MD,2,9,0.033
MI,2,1,0.53
MI,2,1,0.018
MI,2,1,0.059
MI,2,1,0.022
MI,2,1,0.05
MI,2,1,1.4
MI,2,2,0.02
MI,2,2,0.23
MI,2,2,0.018
MI,2,2,0.66
MI,2,2,0.035
MI,2,2,0.57
MI,2,3,0.022
MI,2,3,0.43
MI,2,3,1.1
MI,2,3,4.2
MI,2,3,0.4
MI,2,3,0.018
MI,2,4,0.042
MI,2,4,0.042
MI,2,4,2.8
MI,2,4,0.008
MI,2,4,0.042
MI,2,4,0.67
MI,2,5,0.93
MI,2,5,0.042
MI,2,5,0.9
MI,2,5,0.87
MI,2,5,1.4
MI,2,6,0.02
MI,2,6,2.6
MI,2,6,0.31
MI,2,6,0.48
MI,2,7,0.45
MI,2,7,0.12
MI,2,7,0.12
MI,2,7,0.018
MI,2,7,0.83
MI,2,8,0.013
MI,2,8,0.008
MI,2,8,0.008
MI,2,8,0.25
MI,2,9,0.008
MI,2,9,0.43
MI,2,9,0.11
MI,2,9,0.26
NY,2,1,0.05
NY,2,1,0.18
NY,2,1,2.5
NY,2,1,0.042
NY,2,2,1.1
NY,2,2,0.022
NY,2,2,0.015
NY,2,2,0.32
NY,2,2,0.18
NY,2,2,0.53
NY,2,2,0.022
NY,2,2,0.042
NY,2,3,0.74
NY,2,3,0.36
NY,2,3,1.5
NY,2,3,1.3
NY,2,3,1.5
NY,2,3,0.018
NY,2,3,0.37
NY,2,3,1.1
NY,2,4,0.63
NY,2,4,0.018
NY,2,4,0.66
NY,2,4,1.3
NY,2,5,0.087
NY,2,5,0.042
NY,2,5,0.022
NY,2,5,0.57
NY,2,5,1.0
NY,2,5,0.018
NY,2,5,0.36
NY,2,6,0.77
NY,2,6,1.8
NY,2,6,0.042
NY,2,6,0.95
NY,2,6,2.0
NY,2,6,0.15
NY,2,6,1.8
NY,2,7,0.67
NY,2,7,0.77
NY,2,7,0.57
NY,2,7,0.018
NY,2,7,0.052
NY,2,7,0.71
NY,2,8,0.033
NY,2,8,0.52
NY,2,8,0.081
NY,2,8,0.008
NY,2,8,0.16
NY,2,8,0.23
NY,2,8,0.022
NY,2,9,0.01
NY,2,9,0.013
NY,2,9,0.02
NY,2,9,0.052
NY,2,9,0.049
NY,2,9,0.008
NY,2,9,0.02
NY,2,9,0.1
OH,2,1,0.061
OH,2,1,0.05
OH,2,1,0.015
OH,2,1,0.003
OH,2,1,1.1
OH,2,2,0.018
OH,2,2,0.11
OH,2,2,0.42
OH,2,3,0.48
OH,2,3,2.0
OH,2,3,1.6
OH,2,3,0.14
OH,2,3,0.67
OH,2,3,0.48
OH,2,4,0.84
OH,2,4,0.071
OH,2,4,0.042
OH,2,4,0.33
OH,2,4,1.6
OH,2,4,0.007
OH,2,5,1.4
OH,2,5,0.47
OH,2,5,1.6
OH,2,5,0.018
OH,2,5,0.54
OH,2,6,0.59
OH,2,6,0.92
OH,2,6,0.36
OH,2,6,0.02
OH,2,6,0.49
OH,2,7,0.66
OH,2,7,0.61
OH,2,7,0.58
OH,2,7,0.47
OH,2,7,0.62
OH,2,8,0.6
OH,2,8,1.0
OH,2,8,2.0
OH,2,8,0.013
OH,2,8,0.51
OH,2,9,2.8
OH,2,9,0.05
OH,2,9,0.24
OH,2,9,0.091
OH,2,9,0.57
OH,2,9,0.49
TX,2,1,0.15
TX,2,1,0.018
TX,2,1,0.2
TX,2,1,0.56
TX,2,1,0.003
TX,2,1,0.018
TX,2,1,0.31
TX,2,1,1.4
TX,2,2,1.4
TX,2,2,0.042
TX,2,2,0.12
TX,2,2,0.018
TX,2,2,0.13
TX,2,2,0.042
TX,2,2,0.022
TX,2,2,0.022
TX,2,3,0.49
TX,2,3,0.042
TX,2,3,0.24
TX,2,3,0.34
TX,2,3,0.13
TX,2,3,0.87
TX,2,3,0.66
TX,2,3,0.042
TX,2,4,0.05
TX,2,4,0.022
TX,2,4,0.018
TX,2,4,0.25
TX,2,4,0.042
TX,2,4,0.079
TX,2,4,1.5
TX,2,5,0.018
TX,2,5,0.58
TX,2,5,0.05
TX,2,5,0.11
TX,2,5,0.81
TX,2,5,1.2
TX,2,6,0.018
TX,2,6,0.018
TX,2,6,1.1
TX,2,6,0.018
TX,2,6,0.018
TX,2,6,0.018
TX,2,6,1.3
TX,2,7,0.018
TX,2,7,0.34
TX,2,7,0.42
TX,2,7,0.46
TX,2,7,1.0
TX,2,7,0.93
TX,2,7,0.4
TX,2,8,0.033
TX,2,8,0.039
TX,2,8,0.63
TX,2,8,0.98
TX,2,8,0.013
TX,2,9,0.13
TX,2,9,0.12
TX,2,9,0.35
TX,2,9,0.78
TX,2,9,0.52
TX,2,9,0.013
TX,2,9,0.32
WA,2,1,2.1
WA,2,1,0.1
WA,2,1,0.36
WA,2,1,0.018
WA,2,2,1.8
WA,2,2,0.22
WA,2,2,0.11
WA,2,2,0.5
WA,2,3,0.25
WA,2,3,1.3
WA,2,3,1.3
WA,2,3,0.15
WA,2,4,3.4
WA,2,4,6.0
WA,2,4,0.042
WA,2,4,0.17
WA,2,5,0.045
WA,2,5,1.2
WA,2,5,0.38
WA,2,5,0.018
WA,2,6,1.9
WA,2,6,0.018
WA,2,6,5.5
WA,2,7,0.018
WA,2,7,0.47
WA,2,7,0.018
WA,2,7,0.34
WA,2,8,0.24
WA,2,8,0.018
WA,2,8,2.5
WA,2,9,0.28
WA,2,9,0.013
WA,2,9,0.34
WA,2,9,1.8
WI,2,1,1.2
WI,2,1,0.018
WI,2,2,3.5
WI,2,2,0.007
WI,2,3,1.2
WI,2,3,1.1
WI,2,4,1.1
WI,2,4,1.5
WI,2,5,4.3
WI,2,5,1.0
WI,2,6,0.39
WI,2,6,0.018
WI,2,7,0.55
WI,2,7,1.4
WI,2,8,0.013
WI,2,9,0.69
WI,2,9,0.032
CA,2,4,0.033
MD,2,5,0.039
MI,2,5,0.11
NY,2,6,0.02
OH,2,1,0.13
TX,2,1,0.12
WI,2,3,0.2
WI,2,5,0.004
AZ,2,2,0.034
CA,2,7,0.13
CA,2,7,0.017
CA,2,7,0.017
CA,2,7,0.061
CA,2,7,0.017
CA,2,7,0.042
CA,2,7,0.017
CA,2,7,0.06
CA,2,8,0.16
CA,2,8,0.32
CA,2,8,0.05
CA,2,8,0.017
CA,2,8,0.32
CA,2,9,0.017
CA,2,9,0.017
CA,2,9,0.067
CA,2,9,0.017
CA,2,9,0.12
CA,2,9,0.017
CA,2,9,0.33
CA,2,9,0.36
CA,2,10,0.13
CA,2,10,0.18
CA,2,10,0.017
CA,2,10,0.56
CA,2,10,0.017
CA,2,10,0.016
CA,2,10,0.23
CA,2,11,0.11
CA,2,11,0.075
CA,2,11,0.017
CA,2,11,0.041
CA,2,11,0.039
CA,2,11,0.4
CA,2,11,0.61
CA,2,11,0.084
CA,2,11,0.05
CA,2,12,0.28
CA,2,12,0.056
CA,2,12,0.046
CO,2,8,0.05
CO,2,9,0.069
FL,2,8,0.017
FL,2,10,0.04
FL,2,10,0.017
FL,2,11,0.017
FL,2,12,0.017
MD,2,12,0.017
MI,2,7,0.25
MI,2,8,0.05
MI,2,8,0.017
MI,2,9,0.017
MI,2,9,0.015
MI,2,10,0.16
MI,2,10,0.13
MI,2,11,0.05
MI,2,12,0.052
MI,2,12,0.015
NY,2,7,0.05
NY,2,9,0.017
NY,2,9,0.017
NY,2,11,0.05
OH,2,7,0.15
OH,2,8,0.042
OH,2,8,0.19
OH,2,9,0.085
OH,2,11,0.05
OH,2,12,0.05
TX,2,7,0.16
TX,2,8,0.24
TX,2,9,0.12
TX,2,10,0.11
TX,2,10,0.039
TX,2,11,0.089
TX,2,11,0.017
WA,2,7,0.26
WA,2,7,0.017
WA,2,7,0.055
WA,2,8,0.13
WA,2,8,0.017
WA,2,8,0.017
WA,2,8,0.017
WA,2,9,0.017
WA,2,9,0.11
WA,2,9,0.017
WA,2,9,0.11
WA,2,9,0.039
WA,2,10,0.11
WA,2,10,0.084
WA,2,10,0.04
WA,2,10,0.67
WA,2,10,0.12
WA,2,11,0.017
WA,2,11,0.13
WA,2,11,0.017
WA,2,11,0.017
WA,2,12,0.017
WA,2,12,0.017
WA,2,12,0.043
WA,2,12,0.5
WI,2,7,0.29
WI,2,8,0.044
CA,2,1,0.038
CA,2,1,0.12
CA,2,2,0.13
CA,2,2,0.017
CA,2,2,0.2
CA,2,2,0.34
CA,2,3,0.017
CA,2,4,0.042
CA,2,4,0.047
CA,2,6,0.017
CA,2,10,0.017
CA,2,10,0.017
CO,2,3,0.05
FL,2,3,0.017
FL,2,5,0.017
FL,2,6,0.05
FL,2,11,0.017
MD,2,2,0.12
MD,2,4,0.017
MI,2,1,0.21
MI,2,8,0.22
MI,2,10,0.017
NY,2,7,0.017
OH,2,3,0.037
OH,2,9,0.038
TX,2,6,0.017
WA,2,1,0.017
WA,2,1,0.34
WA,2,2,0.017
WA,2,2,0.17
WA,2,4,0.27
WA,2,4,0.052
WA,2,5,0.034
WA,2,5,0.32
WA,2,7,0.26
WA,2,8,0.074
WA,2,10,0.28
WA,2,11,0.22
WA,2,12,0.022
WA,2,12,0.017
CA,2,1,0.38
CA,2,1,0.018
CA,2,1,0.081
CA,2,1,0.37
CA,2,1,1.1
CA,2,1,0.055
